longitude,latitude,STOP_ID,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
-87.80593,41.91970,15714,HARLEM,PALMER,NB,NS,"90,307",,CHICAGO,Harlem & Palmer
-87.76661,41.94396,11615,CENTRAL,CORNELIA,NB,NS,85,,CHICAGO,Central & Cornelia
-87.65692,41.86934,6697,TAYLOR,RACINE,EB,NS,157,,CHICAGO,Taylor & Racine
-87.78025,41.92135,15334,GRAND,MELVINA,EB,FS,65,,CHICAGO,Grand & Melvina
-87.69595,41.87737,34,JACKSON,CALIFORNIA,EB,FS,126,,CHICAGO,Jackson & California
-87.65565,41.99623,1032,SHERIDAN,ROSEMONT,SB,FS,"136,147,151",0,CHICAGO,Sheridan & Rosemont
-87.61545,41.77670,2136,KING DRIVE,65TH STREET,NB,FS,3,,CHICAGO,King Drive & 65th Street
-87.65466,41.96145,1174,SHERIDAN,BROADWAY (south of Mont.),NB,FS,151,,CHICAGO,Sheridan & Broadway/Montrose
-87.64505,41.79384,5890,HALSTED,GARFIELD (south leg),NB,NS,8,,CHICAGO,Halsted & Garfield
-87.74634,41.92041,15255,CICERO,PALMER,SB,FS,54,,CHICAGO,Cicero & Palmer
-87.62170,41.89683,597,CHICAGO,MIES VAN DER ROHE,WB,NS,"3,26,66,157",N66,CHICAGO,Chicago & Mies Van Der Rohe
-87.69346,41.96133,11381,MONTROSE,ROCKWELL,WB,NS,78,,CHICAGO,Montrose & Rockwell
-87.66399,42.01411,1215,SHERIDAN,CHASE,NB,FS,147,0,CHICAGO,Sheridan & Chase
-87.63950,41.87462,14210,CANAL,HARRISON,NB,FS,"37,7,60,125,157",N60,CHICAGO,Canal & Harrison
-87.66658,41.87910,17177,ASHLAND,ADAMS,NB,FS,9,N9,CHICAGO,Ashland & Adams
-87.72805,41.97211,17322,PULASKI,ARGYLE,NB,FS,53,,CHICAGO,Pulaski & Argyle
-87.62810,41.87950,4732,ADAMS,STATE,WB,FS,"1,7,28,126,130,151",,CHICAGO,Adams & State
-87.71455,41.80804,15942,47TH STREET,ARCHER,WB,FS,47,,CHICAGO,47th Street & Archer
-87.80051,41.92359,844,GRAND,SAYRE,WB,NS,"65,74",,CHICAGO,Grand & Sayre
-87.69648,41.87749,120,JACKSON,CALIFORNIA,WB,FS,126,,CHICAGO,Jackson & California
-87.73265,41.96096,11397,MONTROSE,KEELER,WB,NS,78,,CHICAGO,Montrose & Keeler
-87.67083,41.93239,11052,DIVERSEY,PAULINA,WB,FS,76,,CHICAGO,Diversey & Paulina
-87.62936,41.81626,6476,LASALLE,43RD STREET,NB,NS,"24,43",,CHICAGO,LaSalle & 43rd Street
-87.77543,41.91781,9646,AUSTIN,DICKENS,NB,NS,91,,CHICAGO,Austin & Dickens
-87.65484,41.97347,1182,SHERIDAN,ARGYLE,NB,FS,151,,CHICAGO,Sheridan & Argyle
-87.65961,41.97163,14453,BROADWAY,AINSLIE,NB,FS,36,,CHICAGO,Broadway & Ainslie
-87.68911,41.97786,16122,WESTERN,BERWYN,NB,FS,49B,N49,CHICAGO,Western & Berwyn
-87.72630,41.90600,9107,PULASKI,GRAND,NB,NS,53,N53,CHICAGO,Pulaski & Grand
-87.69711,41.91739,3188,CALIFORNIA,ARMITAGE,NB,NS,94,,CHICAGO,California & Armitage
-87.76453,41.99608,11427,CALDWELL,CENTRAL,NB,TERM,84,,CHICAGO,Caldwell & Central Terminal
-87.61173,41.81667,8057,43RD STREET,ST. LAWRENCE,EB,NS,43,,CHICAGO,43rd Street & St. Lawrence
-87.60985,41.65733,2986,131ST STREET,RHODES,EB,NS,34,N34,CHICAGO,131st Street & Rhodes
-87.64559,41.94784,12547,ADDISON,PINE GROVE,EB,NS,152,,CHICAGO,Addison & Pine Grove
-87.75379,41.92405,1303,FULLERTON,LECLAIRE,EB,NS,74,,CHICAGO,Fullerton & Leclaire
-87.56643,41.76831,7033,S. SHORE DRIVE,70TH STREET,NB,FT,"6,26",,CHICAGO,S. Shore Drive & 70th Street
-87.78165,41.79042,4665,NARRAGANSETT,56TH STREET,NB,NS,55N,,CHICAGO,Narragansett & 56th Street
-87.69615,41.87918,4208,CALIFORNIA,WILCOX,NB,NS,94,,CHICAGO,California & Wilcox
-87.69382,41.79907,4160,CALIFORNIA,52ND STREET,NB,NS,94,,CHICAGO,California & 52nd Street
-87.67785,41.79347,10522,GARFIELD,HAMILTON,EB,FS,55,N55,CHICAGO,Garfield & Hamilton
-87.66957,41.97790,8621,ASHLAND,BERWYN,NB,NS,50,,CHICAGO,Ashland & Berwyn
-87.74609,41.90606,10230,CICERO,HIRSCH,SB,NS,54,,CHICAGO,Cicero & Hirsch
-87.58580,41.74429,7199,STONY ISLAND,83RD STREET,SB,NS,28,,CHICAGO,Stony Island & 83rd Street
-87.66124,41.83995,4441,ARCHER,LOCK,NEB,NS,"31,62",N62,CHICAGO,Archer & Lock
-87.63198,41.78742,6532,WELLS,59TH STREET,SB,NS,24,,CHICAGO,Wells & 59th Street
-87.75820,41.96477,5436,MILWAUKEE,LARAMIE,SEB,NT,56,,CHICAGO,Milwaukee & Laramie
-87.74661,41.92851,10218,CICERO,WRIGHTWOOD (south leg),SB,NS,54,,CHICAGO,Cicero & Wrightwood
-87.77841,41.96846,9555,GUNNISON,AUSTIN,EB,NS,81W,,CHICAGO,Gunnison & Austin
-87.69174,41.91017,15958,NORTH AVENUE,ROCKWELL,EB,FS,72,,CHICAGO,North Ave & Rockwell
-87.64418,41.75057,2762,79TH STREET,HALSTED,EB,NS,79,N79,CHICAGO,79th Street & Halsted
-87.63152,41.82353,7725,PERSHING,WENTWORTH,EB,NS,39,,CHICAGO,Pershing & Wentworth
-87.60017,41.76214,7400,SOUTH CHICAGO,73RD STREET,NWB,NS,30,,CHICAGO,South Chicago & 73rd Street/Ellis
-87.57600,41.74446,7242,SOUTH CHICAGO,JEFFERY,SEB,NS,30,,CHICAGO,South Chicago & Jeffery
-87.65337,41.71418,6574,VINCENNES,99TH STREET,SB,NS,112,,CHICAGO,Vincennes & 99th Street
-87.69967,42.01943,14739,DODGE-CALIFORNIA,HOWARD,SB,NS,93,,EVANSTON,Dodge/California & Howard
-87.76703,41.79509,4526,ARCHER,MENARD,SWB,NS,"62,62H",,CHICAGO,Archer & Menard
-87.68702,41.89733,8224,WESTERN,IOWA,SB,FS,49,N49,CHICAGO,Western & Iowa
-87.57590,41.75179,5299,JEFFERY,79TH STREET,NB,FS,"J14,15",,CHICAGO,Jeffery & 79th Street
-87.80108,41.93075,10966,DIVERSEY,SAYRE,EB,NS,76,,CHICAGO,Diversey & Sayre
-87.63262,41.68514,2947,115TH STREET,STEWART,EB,NS,115,,CHICAGO,115th Street & Stewart
-87.61099,41.78390,13008,61ST STREET,ST. LAWRENCE,EB,NS,59,,CHICAGO,61st Street & St. Lawrence
-87.66932,42.01931,14672,HOWARD,BOSWORTH,EB,FS,147,,CHICAGO,Howard & Bosworth
-87.65455,41.78497,5069,RACINE,60TH STREET,NB,NS,44,,CHICAGO,Racine & 60th Street
-87.63216,41.87872,14061,LASALLE,QUINCY,NB,NS,"134,135,136,156",,CHICAGO,LaSalle & Quincy
-87.63720,41.67781,12455,119TH STREET,WALLACE,EB,NS,119,,CHICAGO,119th Street & Wallace
-87.71446,41.83712,7428,31ST STREET,CENTRAL PARK,WB,NS,,,CHICAGO,31st Street & Central Park
-87.67326,41.75016,2750,79TH STREET,DAMEN,EB,NS,79,N79,CHICAGO,79th Street & Damen
-87.59091,41.75865,10946,75TH STREET,DORCHESTER,EB,NS,75,,CHICAGO,75th Street & Dorchester
-87.58542,41.75871,10949,75TH STREET,STONY ISLAND,EB,FS,75,,CHICAGO,75th Street & Stony Island
-87.73466,41.86597,17427,ROOSEVELT,KOSTNER,EB,FS,12,,CHICAGO,Roosevelt & Kostner
-87.76589,41.92383,11604,CENTRAL,FULLERTON,NB,NS,85,,CHICAGO,Central & Fullerton
-87.66551,41.83439,14782,ASHLAND,33RD STREET,NB,FS,9,N9,CHICAGO,Ashland & 33rd Street
-87.71238,41.93917,11271,KIMBALL,BELMONT,NB,NS,82,,CHICAGO,Kimball & Belmont (Blue Line)
-87.64495,41.78315,17373,HALSTED,61ST STREET,SB,FS,8,,CHICAGO,Halsted & 61st Street
-87.63131,41.89679,1856,CLARK,CHICAGO,SB,NS,22,N22,CHICAGO,Clark & Chicago
-87.69519,41.84635,4185,CALIFORNIA,25TH STREET,NB,NS,94,,CHICAGO,California & 25th Street
-87.64132,41.83092,5140,WALLACE,35TH STREET,SB,NS,44,,CHICAGO,Wallace & 35th Street
-87.72589,41.88528,9031,PULASKI,LAKE,SB,FS,53,N53,CHICAGO,Pulaski & Lake (Green Line)
-87.68647,41.88668,8383,WESTERN,FULTON,NB,FS,49,N49,CHICAGO,Western & Fulton
-87.62977,41.76893,6448,WENTWORTH,69TH STREET,NB,NS,24,,CHICAGO,Wentworth & 69th Street
-87.75250,41.96059,11322,MONTROSE,LAVERGNE,EB,NS,78,,CHICAGO,Montrose & Lavergne
-87.64743,41.77975,16080,63RD STREET,PEORIA,WB,FS,63,N63,CHICAGO,63rd Street & Peoria
-87.67314,41.85226,6865,CERMAK,WOLCOTT,WB,NS,21,,CHICAGO,Cermak & Wolcott
-87.73448,41.93905,9321,BELMONT,KILDARE (west leg),WB,NS,77,N77,CHICAGO,Belmont & Kildare
-87.72087,41.73498,9525,87TH STREET,PULASKI,WB,NS,87,,CHICAGO,87th Street & Pulaski
-87.78315,41.93109,11100,DIVERSEY,MOBILE,WB,NS,76,,CHICAGO,Diversey & Mobile
-87.63344,41.81644,8012,43RD STREET,PRINCETON,WB,NS,43,,CHICAGO,43rd Street & Princeton
-87.60826,41.78042,3218,63RD STREET,LANGLEY,WB,NS,63,N63,CHICAGO,63rd Street & Langley
-87.76773,42.00103,11675,LEHIGH,WAUKESHA,SEB,NS,85A,,CHICAGO,Lehigh & Waukesha
-87.67557,41.85210,14069,CERMAK,DAMEN,EB,FS,21,,CHICAGO,Cermak & Damen
-87.65364,41.83790,7472,31ST STREET,ABERDEEN,EB,NS,31,,CHICAGO,31st Street & Aberdeen
-87.61591,41.79502,2147,KING DRIVE,GARFIELD (north leg),NB,FS,3,,CHICAGO,King Drive & Garfield
-87.72231,41.76762,12919,PULASKI,69TH STREET,NB,NS,53A,,CHICAGO,Pulaski & 69th Street
-87.67372,41.77560,8724,DAMEN,65TH STREET,NB,NS,48,,CHICAGO,Damen & 65th Street
-87.66623,41.86668,6230,ASHLAND,ROOSEVELT,NB,NS,"9,X9",N9,CHICAGO,Ashland & Roosevelt
-87.62607,41.81329,15469,STATE,45TH STREET,NB,FS,29,,CHICAGO,State & 45th Street
-87.63868,41.85271,6952,CERMAK,CANAL,EB,NS,21,,CHICAGO,Cermak & Canal
-87.61838,41.89841,4999,CHESTNUT,LAKE SHORE DRIVE,EB,NS,157,,CHICAGO,Chestnut & Lake Shore Drive
-87.69722,41.91011,890,NORTH AVENUE,CALIFORNIA,EB,NS,72,,CHICAGO,North Ave & California
-87.66734,41.68464,2932,115TH STREET,VINCENNES,EB,FS,111,,CHICAGO,115th Street & Vincennes
-87.80807,41.99762,9932,NORTHWEST HWY,DEVON,SEB,NS,68,,CHICAGO,Northwest Hwy & Devon
-87.74593,41.89490,523,CHICAGO,CICERO,EB,NS,66,,CHICAGO,Chicago & Cicero
-87.64737,41.94725,12546,ADDISON,BROADWAY,EB,NS,152,,CHICAGO,Addison & Broadway
-87.72278,41.95365,5640,IRVING PARK,HAMLIN,EB,NS,80,,CHICAGO,Irving Park & Hamlin
-87.69995,41.92470,14590,FULLERTON,MILWAUKEE,EB,FS,74,,CHICAGO,Fullerton & Milwaukee
-87.65910,41.93976,9286,BELMONT,RACINE,EB,NS,77,N77,CHICAGO,Belmont & Racine
-87.62030,41.76917,7217,69TH STREET,INDIANA,EB,NS,"N5,30,67",N5,CHICAGO,69th Street & Indiana
-87.62379,41.79428,10545,GARFIELD,WABASH,EB,FS,55,N55,CHICAGO,Garfield & Wabash
-87.67743,41.90721,8851,DAMEN,SCHILLER,SB,NS,50,,CHICAGO,Damen & Schiller
-87.68623,41.86917,15345,WESTERN,TAYLOR (north leg),SB,FS,49,N49,CHICAGO,Western & Taylor
-87.76634,41.93136,11542,CENTRAL,DIVERSEY,SB,NS,85,,CHICAGO,Central & Diversey
-87.53980,41.65189,14100,AVENUE O,134TH STREET,NB,FS,30,,CHICAGO,Avenue O & 134th Street
-87.61209,41.77074,10086,KEEFE,SOUTH CHICAGO,SWB,NS,"N5,67",N5,CHICAGO,Keefe & South Chicago
-87.60639,41.80960,7146,47TH STREET,COTTAGE GROVE,WB,NS,47,,CHICAGO,47th Street & Cottage Grove
-87.70540,41.86650,356,ROOSEVELT,KEDZIE,WB,NS,12,,CHICAGO,Roosevelt & Kedzie
-87.63284,41.89634,4957,LASALLE,CHICAGO,SB,FS,156,,CHICAGO,LaSalle & Chicago
-87.64349,41.72891,3694,HALSTED,91ST STREET,SB,NS,8A,,CHICAGO,Halsted & 91st Street
-87.66333,41.69196,2870,VINCENNES,111TH STREET,NEB,NS,"111,112",,CHICAGO,Vincennes & 111th Street
-87.76838,41.98458,11515,CENTRAL,SEMINOLE,SB,FS,"85,85A",,CHICAGO,Central & Seminole
-87.65500,41.97311,1044,SHERIDAN,ARGYLE,SB,FS,151,,CHICAGO,Sheridan & Argyle
-87.63266,41.80878,6516,WELLS,47TH STREET,SB,FS,"15,24,51",,CHICAGO,Wells & 47th Street
-87.67400,41.78300,8780,DAMEN,61ST STREET,SB,NT,48,,CHICAGO,Damen & 61st Street
-87.72153,41.74235,17446,PULASKI,83RD STREET,NB,FS,53A,,CHICAGO,Pulaski & 83rd Street
-87.72731,41.94658,17461,PULASKI,ADDISON,NB,FS,53,N53,CHICAGO,Pulaski & Addison
-87.72698,41.93563,17463,PULASKI,WELLINGTON,NB,FS,53,N53,CHICAGO,Pulaski & Wellington
-87.72689,41.93202,17464,PULASKI,DIVERSEY,NB,FS,53,N53,CHICAGO,Pulaski & Diversey
-87.72678,41.92839,17466,PULASKI,WRIGHTWOOD,NB,FS,53,N53,CHICAGO,Pulaski & Wrightwood
-87.72647,41.91737,17467,PULASKI,ARMITAGE,NB,FS,53,N53,CHICAGO,Pulaski & Armitage
-87.56858,41.75176,2612,79TH STREET,CRANDON,WB,NS,79,N79,CHICAGO,79th Street & Crandon
-87.76781,41.90945,984,NORTH AVENUE,MAJOR,WB,NS,72,,CHICAGO,North Ave & Major
-87.64075,41.91119,928,NORTH AVENUE,CLEVELAND,WB,NS,"N9,72",N9,CHICAGO,North Ave & Cleveland
-87.60404,41.79507,10577,55TH STREET,DREXEL,WB,NT,55,N55,CHICAGO,55th Street & Drexel
-87.72936,41.93178,11078,DIVERSEY,KARLOV,WB,NT,76,,CHICAGO,Diversey & Karlov
-87.74570,41.98998,11507,PETERSON,KILPATRICK,WB,NS,84,,CHICAGO,Peterson & Kilpatrick
-87.66425,41.86924,6694,TAYLOR,LAFLIN,EB,NS,157,,CHICAGO,Taylor & Laflin
-87.63761,41.69235,2882,111TH STREET,WALLACE,EB,NS,111,,CHICAGO,111th Street & Wallace
-87.78386,41.77758,4657,63RD STREET,NATCHEZ,EB,NS,63W,,CHICAGO,63rd Street & Natchez
-87.58380,41.79331,1517,S HYDE PARK,56TH STREET,NB,NS,"6,28,55",N55,CHICAGO,S Hyde Park & 56th Street
-87.60941,41.82903,2523,COTTAGE GROVE,36TH STREET,NB,NS,4,N4,CHICAGO,Cottage Grove & 36th Street
-87.72263,41.78038,12924,PULASKI,62ND STREET (vacated),NB,NT,53A,,CHICAGO,Pulaski & 62nd Street
-87.60373,41.79489,10553,55TH STREET,DREXEL,EB,NS,55,N55,CHICAGO,55th Street & Drexel
-87.73320,41.98997,11439,PETERSON,ROGERS,EB,NS,84,,CHICAGO,Peterson & Rogers
-87.60659,41.80563,2551,COTTAGE GROVE,49TH STREET,SB,FS,4,N4,CHICAGO,Cottage Grove & 49th Street
-87.74740,41.95363,10203,CICERO,IRVING PARK/MILWAUKEE,SB,NS,54,,CHICAGO,Cicero & Irving Park/Milwaukee
-87.54000,41.65764,7298,AVENUE O,131ST STREET,SB,NS,30,,CHICAGO,Avenue O & 131st Street
-87.53980,41.65556,7332,AVENUE O,132ND STREET,NB,FT,30,,CHICAGO,Avenue O & 132nd Street
-87.69304,41.76806,4143,CALIFORNIA,LITHUANIAN PLAZA COURT-69,NB,NS,94,,CHICAGO,California & Lithuanian Plaza/69th Street
-87.72625,41.90436,9106,PULASKI,POTOMAC,NB,NS,53,N53,CHICAGO,Pulaski & Potomac
-87.73374,41.91715,4128,ARMITAGE,KILDARE,WB,NS,73,,CHICAGO,Armitage & Kildare
-87.58105,41.76623,10827,71ST STREET,CREGIER,WB,MB,71,,CHICAGO,71st Street & Cregier
-87.73521,41.79315,10632,55TH STREET,KILBOURN,WB,NS,55,,CHICAGO,55th Street & Kilbourn
-87.71236,41.77891,3267,63RD STREET,CENTRAL PARK (east leg),WB,NS,63,N63,CHICAGO,63rd Street & Central Park
-87.77474,41.87987,9607,AUSTIN,MADISON,SB,FS,91,,OAK PARK,Austin & Madison
-87.66674,41.87395,6043,ASHLAND,HARRISON,SB,FS,"9,X9",N9,CHICAGO,Ashland & Harrison
-87.71590,41.70606,12209,103RD STREET,HAMLIN,WB,NT,103,,CHICAGO,103rd Street & Hamlin
-87.54861,41.75202,14947,79TH STREET,SOUTH SHORE,WB,FS,79,N79,CHICAGO,79th Street & South Shore
-87.56094,41.73731,9459,87TH STREET,COLFAX,WB,NS,87,,CHICAGO,87th Street & Colfax
-87.58506,41.73698,9469,87TH STREET,STONY ISLAND,WB,NS,87,,CHICAGO,87th Street & Stony Island (Nearside)
-87.73064,41.87707,133,JACKSON,KEELER,WB,FS,126,,CHICAGO,Jackson & Keeler
-87.62402,41.87584,4725,IDA B WELLS DRIVE,MICHIGAN,WB,NS,"7,126,143,147",,CHICAGO,Ida B Wells Drive & Michigan
-87.72659,41.92459,1257,FULLERTON,PULASKI,WB,NS,74,,CHICAGO,Fullerton & Pulaski
-87.72796,41.95374,14548,IRVING PARK,PULASKI,WB,FS,80,,CHICAGO,Irving Park & Pulaski
-87.68416,41.78661,15459,59TH STREET,WESTERN,WB,FS,59,,CHICAGO,59th Street & Western
-87.65681,41.86688,303,ROOSEVELT,RACINE,EB,NS,12,,CHICAGO,Roosevelt & Racine
-87.79637,41.95267,5610,IRVING PARK,OAK PARK,EB,NS,80,X80,CHICAGO,Irving Park & Oak Park
-87.71063,41.79333,10507,55TH STREET,ST. LOUIS,EB,FS,55,N55,CHICAGO,55th Street & St. Louis
-87.72232,41.94651,12584,ADDISON,HAMLIN,WB,NS,152,,CHICAGO,Addison & Hamlin
-87.64532,41.93284,11040,DIVERSEY,CLARK/BROADWAY,WB,FS,76,,CHICAGO,Diversey & Clark/Broadway
-87.62267,41.68539,2847,115TH STREET,STATE,WB,NS,115,,CHICAGO,115th Street & State
-87.66788,41.97165,14613,CLARK,AINSLIE,SB,FS,22,N22,CHICAGO,Clark & Ainslie
-87.69630,41.87932,4231,CALIFORNIA,WILCOX,SB,NS,94,,CHICAGO,California & Wilcox
-87.69488,41.91744,4056,ARMITAGE,WASHTENAW,EB,NS,73,,CHICAGO,Armitage & Washtenaw
-87.76277,41.86555,257,ROOSEVELT,5500 WEST,EB,MB,12,,CICERO,5500 W Roosevelt
-87.62998,41.67789,12458,119TH STREET,PRINCETON,EB,NS,119,,CHICAGO,119th Street & Princeton
-87.62976,41.83118,6480,LASALLE,35TH STREET,NB,FS,"24,31",,CHICAGO,LaSalle & 35th Street
-87.66291,41.73563,6155,ASHLAND,87TH STREET,NB,NS,"9,X9",N9,CHICAGO,Ashland & 87th Street
-87.66888,41.95055,6278,ASHLAND,GRACE,NB,NS,9,,CHICAGO,Ashland & Grace
-87.67591,41.85756,8896,DAMEN,18TH STREET,NB,NS,50,,CHICAGO,Damen & 18th Street
-87.55135,41.73727,7011,COMMERCIAL,87TH STREET,NB,NS,"N5,26,71",N5,CHICAGO,Commercial & 87th Street
-87.75526,41.88709,3868,LARAMIE,LAKE,NB,NS,57,,CHICAGO,Laramie & Lake (Green Line)
-87.71269,41.85519,6670,OGDEN,ST. LOUIS,NEB,NS,157,,CHICAGO,Ogden & St. Louis
-87.71501,41.84991,11196,CENTRAL PARK,23RD STREET,SB,NS,82,,CHICAGO,Central Park & 23rd Street
-87.69445,41.82285,7791,PERSHING,CALIFORNIA,WB,NS,39,,CHICAGO,Pershing & California
-87.64759,41.70693,12177,103RD STREET,MORGAN,WB,NS,103,,CHICAGO,103rd Street & Morgan
-87.63159,41.82374,7759,PERSHING,WENTWORTH,WB,FS,39,,CHICAGO,Pershing & Wentworth
-87.63308,41.80187,9195,51ST STREET,PRINCETON,WB,NS,51,,CHICAGO,51st Street & Princeton
-87.67037,41.99814,1762,DEVON,CLARK,WB,NS,"36,151,155",,CHICAGO,Devon & Clark
-87.67731,41.69191,12366,111TH STREET,BELL,WB,NS,112,,CHICAGO,111th Street & Bell
-87.75462,41.96056,11321,MONTROSE,MILWAUKEE,EB,NS,78,,CHICAGO,Montrose & Milwaukee
-87.67696,41.90311,14776,DIVISION,DAMEN,EB,FS,70,,CHICAGO,Division & Damen
-87.71743,41.90251,15560,GRAND,DIVISION,EB,FS,65,,CHICAGO,Grand & Division
-87.68701,41.89566,548,CHICAGO,WESTERN,EB,NS,66,N66,CHICAGO,Chicago & Western
-87.76191,41.88020,394,MADISON,LOTUS (west leg),EB,NS,20,N20,CHICAGO,Madison & Lotus
-87.70354,41.80075,9154,51ST STREET,KEDZIE,EB,FS,51,,CHICAGO,51st Street & Kedzie
-87.66647,41.91635,4071,CORTLAND,ELSTON,EB,NS,73,,CHICAGO,Cortland & Elston
-87.74656,41.93876,14634,BELMONT,CICERO,EB,FS,77,N77,CHICAGO,Belmont & Cicero
-87.68186,41.73542,15498,87TH STREET,WESTERN,EB,FS,87,,CHICAGO,87th Street & Western
-87.62388,41.86050,14760,MICHIGAN,16TH STREET,NB,FS,"1,3,4,12",N4,CHICAGO,Michigan & 16th Street
-87.60591,41.78593,15431,60TH STREET,COTTAGE GROVE,WB,NS,2,,CHICAGO,60th Street & Cottage Grove
-87.70210,41.89543,15567,SACRAMENTO BLVD,CHICAGO,NB,NS,94,,CHICAGO,Sacramento & Chicago
-87.60531,41.75886,14572,COTTAGE GROVE,75TH STREET,NB,FS,4,,CHICAGO,Cottage Grove & 75th Street
-87.74720,41.95385,15857,CICERO,IRVINGPK/MILWAUKEE,NB,FS,"54,54A",,CHICAGO,Cicero & Irving Park/Milwaukee
-87.67847,41.94672,8946,DAMEN,ADDISON,NB,NS,50,,CHICAGO,Damen & Addison
-87.67364,42.00800,14785,CLARK,MORSE,NB,FS,22,N22,CHICAGO,Clark & Morse
-87.62959,41.89312,1891,DEARBORN,ONTARIO,NB,NS,22,N22,CHICAGO,Dearborn & Ontario
-87.62418,41.88066,15241,MICHIGAN,MONROE,NB,NS,"3,4,6,J14,26,143",N4,CHICAGO,Michigan & Monroe
-87.70340,41.79158,3107,KEDZIE,56TH STREET,NB,NS,"52,52A",,CHICAGO,Kedzie & 56th Street
-87.65357,41.74146,5198,RACINE,84TH STREET,SB,NS,44,,CHICAGO,Racine & 84th Street
-87.61553,41.77265,2236,KING DRIVE,MARQUETTE RD/S. CHICAGO,SB,FS,3,,CHICAGO,King Drive & Marquette Rd/S. Chicago
-87.63364,41.81713,8044,PRINCETON,42ND PLACE,SB,FS,43,,CHICAGO,Princeton & 42nd Place
-87.64130,41.82723,5142,WALLACE,37TH STREET,SB,NS,44,,CHICAGO,Wallace & 37th Street
-87.56294,41.73507,7247,SOUTH CHICAGO,KINGSTON,SEB,NS,30,,CHICAGO,South Chicago & Kingston
-87.75505,41.87946,3845,LARAMIE,MONROE,SB,NS,57,,CHICAGO,Laramie & Monroe
-87.71990,41.93675,5567,MILWAUKEE,LAWNDALE (west leg),NWB,NS,56,,CHICAGO,Milwaukee & Lawndale
-87.78480,41.89047,11721,RIDGELAND,ONTARIO,SB,NS,86,,OAK PARK,Ridgeland & Ontario
-87.74361,41.83727,17698,CICERO,31ST STREET,NB,FS,"35,54B",,CICERO,Cicero & 31st Street
-87.64265,41.69797,3711,HALSTED,108TH STREET,SB,NS,"8A,108",,CHICAGO,Halsted & 108th Street
-87.64405,41.75437,15085,HALSTED,77TH STREET,NB,FS,8,,CHICAGO,Halsted & 77th Street
-87.72268,41.78220,12925,PULASKI,61ST STREET,NB,NS,53A,,CHICAGO,Pulaski & 61st Street
-87.52570,41.69711,12256,AVENUE B,109TH STREET,NB,NS,100,,CHICAGO,Avenue B & 109th Street
-87.60597,41.76601,7225,SOUTH CHICAGO,71ST STREET/COTTAGE GROVE,SEB,NS,30,,CHICAGO,South Chicago & 71st Street/Cottage Grove
-87.70462,41.82229,14846,KEDZIE,PERSHING,SB,FS,52,,CHICAGO,Kedzie & Pershing
-87.60517,41.74591,2585,COTTAGE GROVE,82ND STREET,SB,NS,4,,CHICAGO,Cottage Grove & 82nd Street
-87.70263,41.85186,6877,CERMAK,ALBANY,WB,NS,21,,CHICAGO,Cermak & Albany
-87.70729,41.99050,11494,PETERSON,LINCOLN,WB,NS,84,,CHICAGO,Peterson & Lincoln
-87.64814,41.95464,4929,IRVING PARK,PINE GROVE,WB,MT,"135,148",,CHICAGO,Irving Park & Pine Grove
-87.63644,41.91844,13180,ARMITAGE,CLARK,WB,FS,73,,CHICAGO,Armitage & Clark
-87.63015,41.78734,13050,59TH STREET,WENTWORTH,WB,NS,59,,CHICAGO,59th Street & Wentworth
-87.71577,41.86636,15938,ROOSEVELT,CENTRAL PARK,WB,FS,12,,CHICAGO,Roosevelt & Central Park
-87.67836,41.94692,12565,ADDISON,DAMEN,WB,NS,152,,CHICAGO,Addison & Damen
-87.75114,41.95697,5584,MILWAUKEE,BERTEAU,NWB,NS,56,,CHICAGO,Milwaukee & Berteau
-87.64388,41.74351,3685,HALSTED,83RD STREET,SB,NS,8A,,CHICAGO,Halsted & 83rd Street
-87.70829,41.96853,3802,LAWRENCE,KEDZIE,WB,NS,81,N81,CHICAGO,Lawrence & Kedzie
-87.60454,41.80962,7145,47TH STREET,DREXEL,WB,FS,47,,CHICAGO,47th Street & Drexel
-87.62129,41.69267,2909,111TH STREET,MICHIGAN,WB,FS,111,,CHICAGO,111th Street & Michigan
-87.60605,41.79504,10578,55TH STREET,COTTAGE GROVE,WB,NS,55,N55,CHICAGO,55th Street & Cottage Grove
-87.73010,41.85885,15173,16TH STREET,KEELER,WB,FS,18,,CHICAGO,16th Street & Keeler
-87.72676,41.93186,11077,DIVERSEY,PULASKI,WB,NS,76,,CHICAGO,Diversey & Pulaski
-87.73680,41.90984,971,NORTH AVENUE,KOSTNER/GRAND,WB,FS,72,,CHICAGO,North Ave & Kostner/Grand
-87.73334,41.80780,8114,47TH STREET,KOSTNER,WB,NT,47,,CHICAGO,47th Street & Kostner
-87.55749,41.76049,14893,75TH STREET,SOUTH SHORE,WB,FS,"N5,71,75",,CHICAGO,75th Street & South Shore
-87.65844,41.99812,1030,SHERIDAN 6400N,WINTHROP,EB,FS,"136,147,151",0,CHICAGO,Sheridan & Winthrop
-87.69004,42.00851,1684,WESTERN,LUNT,NB,NS,49B,,CHICAGO,Western & Lunt
-87.67631,41.87263,8906,DAMEN,OGDEN,NB,NS,50,,CHICAGO,Damen & Ogden
-87.60638,41.80572,2509,COTTAGE GROVE,49TH STREET,NB,NS,4,N4,CHICAGO,Cottage Grove & 49th Street
-87.71490,41.85154,11215,CENTRAL PARK,CERMAK,NB,NS,82,,CHICAGO,Central Park & Cermak
