longitude,latitude,STOP_ID,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
-87.63035,41.86716,6288,CLARK,ROOSEVELT,NB,NS,24,,CHICAGO,Clark & Roosevelt
-87.65480,41.96185,1051,SHERIDAN,MONTROSE,SB,NS,151,,CHICAGO,Sheridan & Montrose
-87.70280,41.76081,10017,KEDZIE,73RD STREET,SB,NS,52A,,CHICAGO,Kedzie & 73rd Street
-87.64765,41.95280,1060,SHERIDAN 3900N,PINE GROVE,EB,FS,151,,CHICAGO,Sheridan & Pine Grove
-87.67883,41.95954,8954,DAMEN,CULLOM,NB,NS,50,,CHICAGO,Damen & Cullom
-87.64340,41.73243,3668,HALSTED,89TH STREET,NB,NS,8A,,CHICAGO,Halsted & 89th Street
-87.65483,41.79762,5077,RACINE,53RD STREET,NB,NS,44,,CHICAGO,Racine & 53rd Street
-87.59239,41.72215,11933,95TH STREET,1300 EAST (KIMBARK),EB,MB,"N5,95,100",N5,CHICAGO,1300 E 95th Street
-87.61790,41.73641,9413,87TH STREET,PRAIRIE,EB,NS,87,,CHICAGO,87th Street & Prairie
-87.68144,41.87391,190,HARRISON,LEAVITT,EB,NS,7,,CHICAGO,Harrison & Leavitt
-87.78866,41.85051,6976,CERMAK,EAST,EB,NS,"21,322",,BERWYN,Cermak & East
-87.69097,41.95390,5655,IRVING PARK,CAMPBELL,EB,NS,80,,CHICAGO,Irving Park & Campbell
-87.63714,41.89806,6715,ORLEANS,CHESTNUT,NB,NS,37,,CHICAGO,Orleans & Chestnut
-87.64925,41.94171,5967,HALSTED,ALDINE,NB,NS,8,,CHICAGO,Halsted & Aldine
-87.64599,41.82879,5904,HALSTED,36TH STREET (north leg),NB,NS,8,,CHICAGO,Halsted & 36th Street
-87.64519,41.79967,5894,HALSTED,52ND STREET,NB,NS,8,,CHICAGO,Halsted & 52nd Street
-87.62170,41.83297,1560,INDIANA,34TH STREET,NB,MT,"1,4",N4,CHICAGO,Indiana & 34th Street
-87.77131,41.77794,3295,63RD STREET,AUSTIN,WB,NS,63W,,CHICAGO,63rd Street & Austin
-87.66238,42.00922,12060,LUNT,SHERIDAN,WB,FS,96,,CHICAGO,Lunt & Sheridan
-87.68413,41.93228,11057,DIVERSEY,LOGAN,WB,FT,76,,CHICAGO,Diversey & Logan
